system:index,lat,lon,mndwi,ndci,ndvi,.geo
89,38.43946,-105.23278,-0.16727716727716727,-0.023893805309734513,0.10066070734551108,"{""type"":""Point"",""coordinates"":[-105.23278,38.43946]}"
90,47.77913,-122.18783,-0.4731522425773847,0.3884484711211778,0.8153214774281806,"{""type"":""Point"",""coordinates"":[-122.18783,47.77913]}"
91,45.33355,-95.12064,-0.5306403302841415,0.3182109993580141,0.6247497153625692,"{""type"":""Point"",""coordinates"":[-95.12064000000001,45.33355]}"
92,39.92278,-104.86746,-0.11125258634410318,-0.051515151515151514,0.02436738519212746,"{""type"":""Point"",""coordinates"":[-104.86746000000001,39.92278]}"
93,45.94815,-95.36158,0.4455852156057495,0.163194905134669,-0.0374208405296488,"{""type"":""Point"",""coordinates"":[-95.36158000000002,45.94815]}"
94,39.17472,-94.40056,-0.5519762111262545,0.2459439528023599,0.48462701612903225,"{""type"":""Point"",""coordinates"":[-94.40056000000001,39.17472]}"
95,42.5828,-73.75392,0.5161290322580645,-0.10638297872340426,-0.23389830508474577,"{""type"":""Point"",""coordinates"":[-73.75392,42.5828]}"
96,33.88335,-117.64533,-0.3937575030012005,0.19074380165289256,0.07307837940174176,"{""type"":""Point"",""coordinates"":[-117.64533000000002,33.88335]}"
97,38.44222,-86.48778,-0.6929347826086957,0.4302370773416246,0.4782918149466192,"{""type"":""Point"",""coordinates"":[-86.48778,38.44222]}"
98,43.74833,-99.55611,0.41002607939727614,0.004958368416128731,-0.05641636869288836,"{""type"":""Point"",""coordinates"":[-99.55611000000002,43.74833]}"
99,40.4729,-74.57106,-0.10617832038475768,-0.12313937753721245,0.22429906542056074,"{""type"":""Point"",""coordinates"":[-74.57106,40.4729]}"
100,39.0219,-122.88898,-0.22714307161086925,0.007947019867549669,0.5583075335397317,"{""type"":""Point"",""coordinates"":[-122.88898,39.02190000000001]}"
101,34.19,-84.5778,0.8552631578947368,-0.13310580204778158,-0.509090909090909,"{""type"":""Point"",""coordinates"":[-84.5778,34.18999999999999]}"
