avg_temp_max,avg_precip,soil_temp_surface,soil_temp_deep,soil_moisture_surface,soil_moisture_deep,lat,lon,elevation,dist_to_coast,ndci,ndvi,mndwi
35.6,0.25,30.6,28.8,0.058,0.111,34.90588,-106.68618,1491.0,1001.4,0.001556824078879,-0.1003324159130714,0.0841842523258452
32.8,0.0,28.3,26.0,0.101,0.245,40.70856,-111.91993,1295.0,934.5,0.3114930182599355,0.2387173396674584,-0.5677530017152659
35.2,0.07,29.5,27.0,0.044,0.096,39.10613,-108.60772,1394.0,1034.4,0.1392121754700089,0.0853745541022592,-0.2747061384414453
30.6,0.24,25.8,23.4,0.055,0.11,44.01837,-117.39996,763.0,550.1,0.0295081967213114,-0.5376623376623376,0.7755102040816326
25.8,2.37,22.7,20.3,0.222,0.224,45.27712,-94.95576,357.0,483.9,0.2123230641132389,0.6217512994802079,-0.4161490683229814
32.0,4.4,28.9,27.8,0.266,0.268,30.73725,-95.09164,42.0,119.1,0.0775862068965517,-0.5322195704057279,0.8556338028169014
31.9,4.92,28.7,28.3,0.18,0.182,28.9567,-80.8819,0.0,169.0,-0.0433566433566433,-0.1583850931677018,0.3829787234042553
28.8,0.03,22.0,19.6,0.088,0.143,41.50032,-111.94189,1572.0,992.3,-0.0369499934717326,0.0031379440190786,0.0962726452418963
25.2,0.62,19.7,18.2,0.093,0.118,35.89075,-106.49589,2635.0,1044.6,0.0566487775790101,0.3793644566496665,-0.3178561192318715
22.6,0.0,17.8,17.4,0.121,0.134,37.86972,-122.52811,21.0,8.1,0.3826274228284279,0.695898161244696,-0.5895339329517579
26.7,2.4,23.1,21.5,0.289,0.292,41.3333,-85.76567,252.0,158.1,-0.0092592592592592,-0.058252427184466,0.4392523364485981
28.8,3.61,22.3,20.6,0.196,0.199,41.55841,-75.89464,194.0,185.2,0.0666666666666666,0.3862559241706161,-0.1082981715893108
25.9,0.23,18.9,17.7,0.138,0.17,44.63051,-122.92429,81.0,197.2,-0.0671908506075768,0.0774953349563154,-0.0146134709296967
32.4,0.66,24.5,22.7,0.1,0.134,40.33463,-104.86848,1444.0,1380.7,0.1869594145043246,0.3214880621876735,-0.4975865687303252
24.4,5.54,19.4,17.7,0.254,0.255,44.96497,-89.13822,392.0,331.5,0.2746901239504198,0.5666507405637841,-0.4474474474474474
24.2,4.34,21.4,19.1,0.235,0.245,46.37517,-93.86214,380.0,344.3,-0.0658682634730539,-0.0987654320987654,0.2796208530805687
28.2,3.91,22.5,21.0,0.267,0.268,40.82034,-79.53143,279.0,237.1,0.0204962243797195,0.0183783783783783,0.2523191094619666
25.1,2.48,19.5,17.8,0.255,0.255,47.15966,-94.75393,392.0,373.5,0.0127659574468085,-0.0197802197802197,0.7389033942558747
29.3,1.31,23.0,21.0,0.187,0.19,42.37139,-71.27528,33.0,22.8,0.0864722896372884,0.270854770658702,-0.2177505330490405
31.8,2.57,27.2,24.9,0.283,0.286,36.56445,-93.47813,276.0,763.2,-0.1004784688995215,-0.1794871794871795,0.4606060606060606
28.7,2.67,26.2,25.0,0.201,0.213,39.26178,-75.2063,0.0,160.0,-0.025911286780852,-0.391304347826087,0.8321678321678322
31.4,3.43,26.9,25.6,0.169,0.168,35.99361,-92.70174,176.0,716.3,0.216538789428815,0.476054732041049,-0.4887720974677496
31.8,0.78,25.1,23.1,0.104,0.138,40.34873,-104.6778,1424.0,1395.9,-0.0117766003257756,0.1767967583706547,-0.3194660734149054
32.7,0.85,29.5,28.7,0.18,0.179,28.76871,-82.58325,17.0,190.5,0.4714003944773176,0.7881422924901186,-0.4811320754716981
32.1,1.31,29.8,29.1,0.19,0.185,28.55833,-82.675,0.0,215.5,-0.1099290780141844,-0.7405004633920297,0.8248974008207934
31.3,1.62,26.6,25.4,0.289,0.291,33.55163,-86.9674,165.0,351.1,-0.1428571428571428,0.1022530329289428,0.0618556701030927
27.5,0.2,19.9,17.8,0.066,0.104,40.10861,-106.41333,2258.0,1252.9,0.1424766977363515,0.408812729498164,-0.4500970873786408
24.0,0.38,16.9,15.5,0.097,0.14,48.63753,-116.8754,765.0,418.8,0.51440329218107,0.8095750403442711,-0.5606850335070737
30.2,9.34,29.9,29.0,0.394,0.398,29.53502,-94.9695,0.0,45.5,-0.020964360587002,-0.5112490302560124,0.8648648648648649
